speaker,part,start_time_sec,end_time_sec,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,delta_mfcc_mean_abs,delta2_mfcc_mean_abs,spec_contrast_band1,spec_contrast_band2,spec_contrast_band3,spec_contrast_band4,spec_contrast_band5,spec_contrast_band6,spec_contrast_band7,chroma_variance,F1_mean_hz,F2_mean_hz,F3_mean_hz,F1_std_hz,F2_std_hz,HNR_dB,jitter_local_pct,shimmer_local_dB,n_pauses,total_pause_sec,speech_ratio,mean_pause_sec,max_pause_sec,pauses_per_second
Kamil,1,0.0,2.8413125,-524.6376953125,93.07441711425781,133.95274353027344,50.009254455566406,11.90661334991455,22.723237991333008,16.975513458251953,18.391382217407227,-1.885337233543396,21.507461547851562,11.892683982849121,9.344254493713379,-3.9217324256896973,9.568509101867676,-7.3272857666015625,10.13204574584961,4.195287227630615,9.840749740600586,0.9238284826278687,6.3513407707214355,-7.609739303588867,8.412936210632324,-0.5617662668228149,6.993230819702148,-1.6986678838729858,5.998364448547363,2.3661088943481445,1.1968252658843994,29.6282201403186,13.051157111189427,17.270327096783525,15.331288740148338,18.415155612238934,17.85143137023383,51.33117548838959,0.006284269038587809,608.3840360618566,1672.1538522613166,2834.3375382420254,235.24489375127249,448.9908212015943,8.936324079175826,3.341774528367805,1.4965964577947748,0,0.0,1.0,0.0,0.0,0.0
Kamil,2,2.8413125,5.682625,-493.4820861816406,81.45853424072266,125.26753234863281,53.199520111083984,11.06686019897461,21.612070083618164,26.148588180541992,30.66891860961914,-6.9777045249938965,24.131153106689453,12.86319637298584,9.723929405212402,4.845333576202393,12.071815490722656,-10.94581413269043,11.199261665344238,1.8059464693069458,8.7987642288208,-3.87446928024292,11.649863243103027,-10.242631912231445,9.014204025268555,-0.24957865476608276,7.189718246459961,-5.855591297149658,9.442218780517578,3.7140140533447266,1.9067414999008179,33.218426380954014,14.941134206826893,16.451436241731944,15.972898791041537,18.339902306988,20.31110486777325,52.164719381971125,0.005027635022997856,622.7111429514722,1684.7915542719113,2869.307397842369,373.5199897609271,548.9268535472992,10.435295385704217,2.4837528934621327,1.4249220503559548,0,0.0,1.0,0.0,0.0,0.0
Kamil,3,5.682625,8.5239375,-489.4195556640625,72.0152816772461,144.58096313476562,50.26020812988281,16.249855041503906,23.30742073059082,18.632442474365234,16.677244186401367,-8.379683494567871,18.54413414001465,16.031217575073242,12.154376983642578,-3.4808733463287354,11.143301963806152,-7.98514986038208,12.172451972961426,7.6324896812438965,8.50717544555664,-3.4488439559936523,9.641518592834473,-7.28391695022583,8.216780662536621,1.6845495700836182,6.270003795623779,-0.2981686592102051,5.880162239074707,2.7022857666015625,1.6219180822372437,31.734415416998075,14.564610054023108,16.58434161277772,16.578023059573212,17.949058678806917,20.66506499578501,51.8847429066323,0.014825028367340565,568.9478133687039,1565.5132753575167,2861.6865434209376,318.0897864139958,499.6891934905443,9.465448200912515,3.264475371208117,1.2342714534715422,0,0.0,1.0,0.0,0.0,0.0
Kamil,4,8.5239375,11.36525,-502.5795593261719,55.635498046875,146.42501831054688,50.81983184814453,18.52609634399414,16.89663314819336,15.715482711791992,24.01405143737793,-12.638394355773926,20.892528533935547,14.280494689941406,11.314042091369629,2.5745108127593994,9.42484188079834,-4.47305965423584,12.536426544189453,3.6528306007385254,11.167823791503906,2.11226487159729,8.343864440917969,-7.844715118408203,9.292675018310547,-0.6388881802558899,6.008646011352539,-0.31784263253211975,6.115312576293945,2.9570653438568115,1.9970952272415161,33.91461920844576,14.141784041301113,15.807264882020139,17.18842911371278,17.759663149576596,18.901724062608587,50.94089283004728,0.005661053117364645,584.6004223476677,1577.0643392704974,2882.679985940793,297.6216652340802,523.4359974060353,7.521259185363664,4.723571103176349,1.609623794105404,0,0.0,1.0,0.0,0.0,0.0
Kamil,5,11.36525,14.2066875,-597.7759399414062,52.97734451293945,162.96568298339844,35.21753692626953,9.750524520874023,11.979996681213379,3.1359810829162598,15.288082122802734,1.8779542446136475,16.816987991333008,21.356613159179688,7.894443035125732,6.3999152183532715,8.49403190612793,-1.8901286125183105,8.8416748046875,0.7641083598136902,8.53374195098877,4.587193012237549,11.145458221435547,-4.5905585289001465,6.483300685882568,1.6712008714675903,5.738826274871826,-1.171838641166687,5.700742721557617,1.9623576402664185,1.0889594554901123,30.392153701522368,12.593865395372056,15.848371330566597,16.64561589485402,18.296977562190694,16.317396840613263,51.04538587533842,0.007266475353389978,695.7612157728655,1494.555563142112,2892.817027918739,271.8133521430555,407.6638325189096,7.952871237819283,3.2986681872163635,1.156154736523338,0,0.0,1.0,0.0,0.0,0.0
Monika,1,0.0,2.98425,-461.78643798828125,45.158050537109375,98.90863800048828,51.533573150634766,16.615697860717773,24.07432746887207,41.529273986816406,19.294700622558594,-13.451492309570312,18.621557235717773,6.368889331817627,13.216222763061523,-21.281352996826172,12.612924575805664,1.7252044677734375,9.421964645385742,-0.6803112626075745,10.203322410583496,0.4543066918849945,9.203521728515625,-11.15710735321045,11.221270561218262,0.7125747203826904,10.734814643859863,-2.697629690170288,7.320054054260254,2.9246888160705566,1.8021721839904785,31.02980296317861,19.24776042159722,19.431285526706393,17.370348085513072,18.7961598340122,19.791541854462675,49.73651898611026,0.02031332068145275,681.0472957332631,1953.8625402702628,3086.0420108011554,453.6663389414805,586.1606512733875,9.018979511102895,2.7322687471898357,1.4684030949791338,0,0.0,1.0,0.0,0.0,0.0
Monika,2,2.98425,5.9685,-467.90948486328125,62.732200622558594,124.4067611694336,43.57870101928711,15.254623413085938,21.826068878173828,30.320377349853516,23.017730712890625,-12.918323516845703,22.674427032470703,3.5370635986328125,14.537809371948242,-16.230581283569336,16.24051856994629,-1.1894537210464478,9.720298767089844,0.9463219046592712,11.185011863708496,-8.081847190856934,7.954736232757568,-5.6636643409729,9.603002548217773,-0.2889261841773987,12.168416976928711,-5.252382278442383,8.05860424041748,2.7641382217407227,1.901079535484314,31.18666458474918,16.361621081638884,18.2254649645422,17.304638028179234,18.370653506888846,20.780283405943955,48.74456004196843,0.002168996725231409,583.1315993200224,1793.5763698830233,3013.347389975125,273.3943308609044,500.5004807213857,8.885896820290597,3.4599383122851233,1.5635506315666972,0,0.0,1.0,0.0,0.0,0.0
Monika,3,5.9685,8.95275,-472.3251647949219,73.32369232177734,147.16525268554688,42.19033432006836,-11.416409492492676,27.626039505004883,14.109402656555176,20.614627838134766,-11.987764358520508,20.07539939880371,14.17940616607666,11.645000457763672,-13.872260093688965,14.12364387512207,2.129142999649048,8.897903442382812,2.1046535968780518,10.093992233276367,-3.0541272163391113,7.100915431976318,-4.655642032623291,7.776909351348877,0.7904887795448303,7.362977027893066,-3.446678400039673,5.782506942749023,2.735914468765259,1.8579541444778442,30.513515185563005,16.691382470632515,18.747729697251405,17.76799817988873,18.881958129289718,20.1491582447206,49.65162142256264,0.0025760175194591284,704.2640561244114,1554.8374823527795,2808.37005045317,298.95598747627,438.39835898360855,7.933548240296725,2.256130230380246,1.2872727449622978,0,0.0,1.0,0.0,0.0,0.0
Monika,4,8.95275,11.937,-450.355224609375,86.11650085449219,119.78348541259766,49.991737365722656,-4.0285868644714355,33.08879852294922,22.424776077270508,22.18685531616211,-0.7245031595230103,13.445716857910156,5.612381935119629,11.89639663696289,-15.75220775604248,14.543371200561523,-1.494341254234314,9.966654777526855,3.0269908905029297,9.466192245483398,-6.924108505249023,7.210064888000488,-7.374267578125,6.766978740692139,-2.202054500579834,8.767720222473145,-4.262402534484863,6.622093677520752,3.2680540084838867,1.768398404121399,29.24472174244472,19.62964384022595,18.983610760077653,15.711696527255507,20.000361189230475,19.97226517222718,50.61518422175193,0.012475485913455486,620.415301153737,1757.3330617284246,2776.364382983541,383.43824734130555,414.2994755087454,11.050209339269696,3.4342694339779376,1.4853236701988035,0,0.0,1.0,0.0,0.0,0.0
Monika,5,11.937,14.921375,-520.5565795898438,71.05006408691406,131.45156860351562,24.882856369018555,6.1336188316345215,19.54644012451172,5.255575656890869,12.05552864074707,0.25087255239486694,20.473007202148438,10.222046852111816,9.753815650939941,2.353229284286499,13.997384071350098,2.4193596839904785,5.481536865234375,2.924004316329956,7.17925500869751,-0.8609879612922668,5.488262176513672,2.093622922897339,7.778926849365234,-0.01422557421028614,7.0589118003845215,-1.7056066989898682,4.320531368255615,2.1401290893554688,1.1305049657821655,29.66272859963478,13.24607185970374,15.572616658297388,16.58373624732226,17.004986283550664,17.12130025385709,50.95375532234764,0.006803875323385,754.254098082915,1569.5852275094057,2787.345106766013,217.38030251286872,367.79946449412995,9.229086530844697,4.060922142602702,1.5032763227546106,0,0.0,1.0,0.0,0.0,0.0
