part,start_time_sec,end_time_sec,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,delta_mfcc_mean_abs,delta2_mfcc_mean_abs,spec_contrast_band1,spec_contrast_band2,spec_contrast_band3,spec_contrast_band4,spec_contrast_band5,spec_contrast_band6,spec_contrast_band7,chroma_variance,F1_mean_hz,F2_mean_hz,F3_mean_hz,F1_std_hz,F2_std_hz,HNR_dB,jitter_local_pct,shimmer_local_dB,n_pauses,total_pause_sec,speech_ratio,mean_pause_sec,max_pause_sec,pauses_per_second
1,0.0,3.8994375,-487.5852966308594,125.21477508544922,117.43770599365234,41.70707321166992,39.77925109863281,26.446256637573242,12.026392936706543,19.83932113647461,-6.6528801918029785,17.39353370666504,0.9071347713470459,16.316722869873047,-5.5571417808532715,18.39532470703125,-4.752307891845703,11.610430717468262,6.957801818847656,6.547563552856445,-4.1371378898620605,9.085909843444824,-1.3556991815567017,7.253134727478027,1.0915662050247192,6.553593635559082,-6.147288799285889,8.97729778289795,2.3488106727600098,1.4785186052322388,31.15484199829166,15.606019661198308,16.92492134011565,18.216032913718976,17.01329751232973,17.854103560202763,52.034181307678686,0.002867879578843713,600.7926333018139,1697.049019999163,3096.1733370210795,272.62035590192073,600.3630829058069,9.73776357487251,2.6351479481252915,1.3336721941954095,0,0.0,1.0,0.0,0.0,0.0
2,3.8994375,7.798875,-497.22509765625,99.54918670654297,123.69013214111328,46.597660064697266,22.689300537109375,24.427820205688477,29.123842239379883,20.246671676635742,-0.19069859385490417,18.76670265197754,4.252262115478516,18.883623123168945,-2.916074275970459,11.74989128112793,-3.2949273586273193,12.926030158996582,8.56299114227295,7.105004787445068,-5.220310211181641,12.531282424926758,-1.5554710626602173,5.899768829345703,2.0107362270355225,5.05668306350708,-5.391224384307861,7.744040012359619,2.4177157878875732,1.3873902559280396,30.328491413673202,15.385084265221662,16.738581764581994,16.5329406999318,17.46123435958012,19.506313504001017,50.495667272591426,0.006884099915623665,656.8427802324413,1798.2566101881375,3034.790833251393,350.03741747105886,528.9026809812578,11.815836122761137,2.616522864029872,1.2082490334482134,0,0.0,1.0,0.0,0.0,0.0
3,7.798875,11.6983125,-417.341064453125,75.8869400024414,132.94635009765625,68.16522979736328,26.49430274963379,26.777095794677734,19.812393188476562,23.522781372070312,-4.828570365905762,27.127750396728516,-12.148914337158203,22.70517921447754,-4.668842315673828,14.964373588562012,-13.364956855773926,10.087823867797852,7.148260116577148,10.669848442077637,-4.870645999908447,10.667850494384766,-5.217443943023682,9.594316482543945,2.154245138168335,8.021080017089844,-13.534735679626465,8.408028602600098,3.244659185409546,1.739353060722351,33.30071862073731,17.303655899288973,18.283924532782837,18.620104088562023,17.79921927540122,19.08375879538292,51.50073180775554,0.004472899716347456,557.5255711365992,1615.1506045583285,2806.9712470410145,352.0931266576695,627.4479309486126,12.16857750198893,2.1143798998376475,1.0408306441889517,0,0.0,1.0,0.0,0.0,0.0
4,11.6983125,15.59775,-460.23187255859375,105.28414154052734,130.87380981445312,32.438804626464844,16.008808135986328,28.9830379486084,30.952001571655273,28.64206314086914,1.5322489738464355,17.9912109375,-14.02512264251709,21.565597534179688,-1.453605055809021,14.718598365783691,-1.3664186000823975,11.294113159179688,1.668567180633545,11.96746826171875,-8.016079902648926,11.806356430053711,-1.6837847232818604,7.78706169128418,-2.7430367469787598,7.932830810546875,-9.652426719665527,11.07831859588623,3.0268397331237793,1.4905821084976196,33.85140686508878,17.295000349255933,17.930348296077234,18.33907588511413,18.13564984893563,20.199801844045002,50.72026535674528,0.008912955410778522,533.0860161491141,1798.0345367555778,2808.3725476175855,274.75489926368147,473.13060491414166,13.794501882552947,2.7385574431824087,1.244562547285544,0,0.0,1.0,0.0,0.0,0.0
5,15.59775,19.497375,-539.275146484375,114.87731170654297,146.53985595703125,29.602144241333008,13.119728088378906,29.507488250732422,16.59950065612793,25.10090446472168,0.6122019290924072,16.770750045776367,2.960601329803467,17.434886932373047,4.345826625823975,8.055157661437988,-3.32694149017334,14.13843059539795,4.0741071701049805,8.429962158203125,0.46180209517478943,8.886695861816406,1.4096379280090332,5.483304977416992,-0.47669413685798645,6.476935863494873,-6.105069160461426,10.244098663330078,2.383284568786621,1.1812845468521118,30.340094519215775,13.805583066990367,15.600383606261852,16.745923400141933,16.441715407345068,18.916514808888756,52.42836673842925,0.0047341990284621716,654.2636396632421,1619.8607827282135,2841.181320386626,278.2979203687877,443.4217119068993,9.153201813675395,3.442917089134957,1.6330208117242895,0,0.0,1.0,0.0,0.0,0.0
