part,start_time_sec,end_time_sec,duration_sec,f0_mean_hz,f0_median_hz,f0_std_hz,voiced_ratio,rms_mean,rms_std,zcr_mean,zcr_std,centroid_mean_hz,bandwidth_mean_hz,rolloff_mean_hz,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean
1,0.0,3.8994375,3.8994375,101.57789486809537,119.62238028536727,42.80358339072709,1.0,0.009570657275617123,0.01058135274797678,0.06720671106557377,0.052020545134844845,1225.917550526166,1572.422392204633,2568.7115778688526,-487.5852966308594,117.43770599365234,39.77925109863281,12.026392936706543,-6.6528801918029785,0.9071347713470459,-5.5571417808532715,-4.752307891845703,6.957801818847656,-4.1371378898620605,-1.3556991815567017,1.0915662050247192,-6.147288799285889
2,3.8994375,7.798875,3.8994375,83.26617974484276,75.91473580673228,34.80830092323839,1.0,0.00921487994492054,0.012781843543052673,0.06540967597336066,0.056420498206967214,1190.1265067516224,1464.0080061782721,2634.9257172131147,-497.22509765625,123.69013214111328,22.689300537109375,29.123842239379883,-0.19069859385490417,4.252262115478516,-2.916074275970459,-3.2949273586273193,8.56299114227295,-5.220310211181641,-1.5554710626602173,2.0107362270355225,-5.391224384307861
3,7.798875,11.6983125,3.8994375000000003,102.87486170376187,100.34952056418257,27.872615837105204,1.0,0.017508378252387047,0.01475384272634983,0.1058289574795082,0.10945283506956648,1434.6097098085986,1444.7247772622993,2745.7095286885246,-417.341064453125,132.94635009765625,26.49430274963379,19.812393188476562,-4.828570365905762,-12.148914337158203,-4.668842315673828,-13.364956855773926,7.148260116577148,-4.870645999908447,-5.217443943023682,2.154245138168335,-13.534735679626465
4,11.6983125,15.59775,3.8994374999999994,122.08014905580036,116.85318035332065,50.661675574718934,1.0,0.012575531378388405,0.012218094430863857,0.06339651639344263,0.0697775290011641,1053.2078083786555,1332.6801743399167,2153.496413934426,-460.23187255859375,130.87380981445312,16.008808135986328,30.952001571655273,1.5322489738464355,-14.02512264251709,-1.453605055809021,-1.3664186000823975,1.668567180633545,-8.016079902648926,-1.6837847232818604,-2.7430367469787598,-9.652426719665527
5,15.59775,19.497375,3.899625000000002,100.22914098280467,66.2276539879336,56.06527852826662,1.0,0.006166461389511824,0.00847285520285368,0.04878810194672131,0.01725616951847844,873.8202704288428,1194.1773529386116,1691.7264344262296,-539.275146484375,146.53985595703125,13.119728088378906,16.59950065612793,0.6122019290924072,2.960601329803467,4.345826625823975,-3.32694149017334,4.0741071701049805,0.46180209517478943,1.4096379280090332,-0.47669413685798645,-6.105069160461426
