,F1_mean_hz,F2_mean_hz,F3_mean_hz,HNR_dB,jitter_local_pct,shimmer_local_dB,n_pauses,speech_ratio,mean_pause_sec,delta_mfcc_mean_abs,chroma_variance,delta (Kamil − Monika)
Kamil,616.0809261005131,1598.8157168606708,2868.165698672973,8.862239617795101,3.4224484166861537,1.3843136984502027,0.0,1.0,0.0,2.7403663396835327,0.00781289217993617,
Monika,668.6224700828698,1725.838936348779,2894.293788195801,9.22354408836092,3.188705773287169,1.4615652928923086,0.0,1.0,0.0,2.7665849208831785,0.008867539232596755,
